Zmod slot_label mod_nr mod_type sensor_type sensor_number
-315 PU01L mod_0 PU R 128
-235 PU02L mod_2 PU R 130
-175 VL01L mod_0 VELO_phi R 0
-175 VL01L mod_0 VELO_phi phi 64
-145 VL02L mod_2 VELO_R phi 66
-145 VL02L mod_2 VELO_R R 2
-115 VL03L mod_4 VELO_phi R 4
-115 VL03L mod_4 VELO_phi phi 68
-85 VL04L mod_6 VELO_R phi 70
-85 VL04L mod_6 VELO_R R 6
-55 VL05L mod_8 VELO_phi R 8
-55 VL05L mod_8 VELO_phi phi 72
-25 VL06L mod_10 VELO_R phi 74
-25 VL06L mod_10 VELO_R R 10
5 VL07L mod_12 VELO_phi R 12
5 VL07L mod_12 VELO_phi phi 76
35 VL08L mod_14 VELO_R phi 78
35 VL08L mod_14 VELO_R R 14
65 VL09L mod_16 VELO_phi R 16
65 VL09L mod_16 VELO_phi phi 80
95 VL10L mod_18 VELO_R phi 82
95 VL10L mod_18 VELO_R R 18
125 VL11L mod_20 VELO_phi R 20
125 VL11L mod_20 VELO_phi phi 84
155 VL12L mod_22 VELO_R phi 86
155 VL12L mod_22 VELO_R R 22
185 VL13L mod_24 VELO_phi R 24
185 VL13L mod_24 VELO_phi phi 88
215 VL14L mod_26 VELO_R phi 90
215 VL14L mod_26 VELO_R R 26
245 VL15L mod_28 VELO_phi R 28
245 VL15L mod_28 VELO_phi phi 92
275 VL16L mod_30 VELO_R phi 94
275 VL16L mod_30 VELO_R R 30
305 VL17L
335 VL18L
435 VL19L mod_32 VELO_phi R 32
435 VL19L mod_32 VELO_phi phi 96
485 VL20L
535 VL21L
585 VL22L mod_34 VELO_Rx phi 98
585 VL22L mod_34 VELO_R R 34
635 VL23L mod_36 VELO_phix R 36
635 VL23L mod_36 VELO_phi phi 100
685 VL24L mod_48 VELO_Rx phi 102
685 VL24L mod_48 VELO_R R 38
735 VL25L mod_40 VELO_phix R 40
735 VL25L mod_40 VELO_phi phi 104
-300 PU01R mod_1 PU R 129
-220 PU02R mod_3 PU R 131
-160 VL01R mod_1 VELO_R phi 65
-160 VL01R mod_1 VELO_R R 1
-130 VL02R mod_3 VELO_phi R 3
-130 VL02R mod_3 VELO_phi phi 67
-100 VL03R mod_5 VELO_R phi 69
-100 VL03R mod_5 VELO_R R 5
-70 VL04R mod_7 VELO_phi R 7
-70 VL04R mod_7 VELO_phi phi 71
-40 VL05R mod_9 VELO_R phi 73
-40 VL05R mod_9 VELO_R R 9
-10 VL06R mod_11 VELO_phi R 11
-10 VL06R mod_11 VELO_phi phi 75
20 VL07R mod_13 VELO_R phi 77
20 VL07R mod_13 VELO_R R 13
50 VL08R mod_15 VELO_phi R 15
50 VL08R mod_15 VELO_phi phi 79
80 VL09R mod_17 VELO_R phi 81
80 VL09R mod_17 VELO_R R 17
110 VL10R mod_19 VELO_phi R 19
110 VL10R mod_19 VELO_phi phi 83
140 VL11R mod_21 VELO_R phi 85
140 VL11R mod_21 VELO_R R 21
170 VL12R mod_23 VELO_phi R 23
170 VL12R mod_23 VELO_phi phi 87
200 VL13R mod_25 VELO_R phi 89
200 VL13R mod_25 VELO_R R 25
230 VL14R mod_27 VELO_phi R 27
230 VL14R mod_27 VELO_phi phi 91
260 VL15R mod_29 VELO_R phi 93
260 VL15R mod_29 VELO_R R 29
290 VL16R mod_31 VELO_phi R 31
290 VL16R mod_31 VELO_phi phi 95
320 VL17R
350 VL18R
450 VL19R mod_33 VELO_R phi 97
450 VL19R mod_33 VELO_R R 33
500 VL20R
550 VL21R
600 VL22R mod_35 VELO_phix R 35
600 VL22R mod_35 VELO_phi phi 99
650 VL23R mod_37 VELO_Rx phi 101
650 VL23R mod_37 VELO_R R 37
700 VL24R mod_39 VELO_phix R 39
700 VL24R mod_39 VELO_phi phi 103
750 VL25R mod_41 VELO_Rx phi 105
750 VL25R mod_41 VELO_R R 41
